Hierarchical Name,Hierarchical Name,Coded Text
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\Abnormality\eating disorders\Body dysmorphic disorder,body dysmorphic disorder
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\Abnormality\obsessive-compulsive disorder,obsessive-compulsive disorder
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\hoarding,hoarding
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\Journal,Obsessive-Compulsive and Related Disorders: A Critical Review of the New Diagnostic Class
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\Journal\Annual Review of Clinical Psychology,Obsessive-Compulsive and Related Disorders: A Critical Review of the New Diagnostic Class
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\Number of Citations,Obsessive-Compulsive and Related Disorders: A Critical Review of the New Diagnostic Class
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\Number of Citations\41-50,Obsessive-Compulsive and Related Disorders: A Critical Review of the New Diagnostic Class
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\Year,Obsessive-Compulsive and Related Disorders: A Critical Review of the New Diagnostic Class
"Internals\\Abramowitz, J. S., & Jacoby, R. J. (2015). Obsessive-compulsive and related disorders a critical review of the new diagnostic class",Nodes\\Year\2015,Obsessive-Compulsive and Related Disorders: A Critical Review of the New Diagnostic Class
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\Journal,"Meta-Reasoning: Monitoring and Control of Thinking and 
Reasoning"
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\Journal\Trends in Cognitive Science,"Meta-Reasoning: Monitoring and Control of Thinking and 
Reasoning"
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\metacognition,Meta-Reasoning
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\metacognition\Meta-Reasoning,Meta-Reasoning
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\Number of Citations,"Meta-Reasoning: Monitoring and Control of Thinking and 
Reasoning"
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\Number of Citations\1-10,"Meta-Reasoning: Monitoring and Control of Thinking and 
Reasoning"
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\problem solving,problem-solving
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\problem solving\problem-solving,problem-solving
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\reasoning,reasoning
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\Year,"Meta-Reasoning: Monitoring and Control of Thinking and 
Reasoning"
"Internals\\Ackerman, R., & Thompson, V. A. (2017). Meta-reasoning Monitoring and control of thinking and reasoning",Nodes\\Year\2017,"Meta-Reasoning: Monitoring and Control of Thinking and 
Reasoning"
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\age,age-dependent interactions
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\age\age-dependent interactions,age-dependent interactions
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Brain\brain structure\limbic structures\Basal ganglia,basal ganglia
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Brain\brain structure\striatum,striatum
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Evolution,evolutionary tinkering
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Evolution\evolutionary tinkering,evolutionary tinkering
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\human universals,human evolution
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\human universals\human evolution,human evolution
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Integrative Perspective,integration ofprimate-general mechanisms
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Integrative Perspective\integration ofprimate-general mechanisms,integration ofprimate-general mechanisms
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Journal,Brain mechanisms of acoustic communication in humans and nonhuman primates: An evolutionary perspective
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Journal\Behavioral and Brain Scienes,Brain mechanisms of acoustic communication in humans and nonhuman primates: An evolutionary perspective
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Number of Citations,Brain mechanisms of acoustic communication in humans and nonhuman primates: An evolutionary perspective
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Number of Citations\91-100,Brain mechanisms of acoustic communication in humans and nonhuman primates: An evolutionary perspective
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Phylogeny,phylogenetic trend
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\Phylogeny\phylogenetic trend,phylogenetic trend
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\speech,speech acquisition
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\speech,spoken language
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\speech\speech acquisition,speech acquisition
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\speech\spoken language,spoken language
"Internals\\Ackermann, H., Hage, S. R., & Ziegler, W. (2014). Brain mechanisms of acoustic communication in humans and nonhuman primates An evolutionary perspective.",Nodes\\vocal behavior,vocal behavior
